company_id,type,rule_id,text,confidence_pct
ABB,con,C_FALLBACK,Revenue CAGR of 9.7% over 5 years warrants monitoring relative to industry benchmarks,61.0
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.6
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65.1
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.0
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIENSOL,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.0
ADANIENSOL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIENSOL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.4
ADANIENT,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIENT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
ADANIENT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.1
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.0
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.4x is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIPORTS,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.3
ADANIPOWER,con,C_FALLBACK,Revenue CAGR of 16.1% over 5 years warrants monitoring relative to industry benchmarks,61.0
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.5
ADANIPOWER,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIPOWER,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.0
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64.3
AMBUJACEM,con,C_FALLBACK,Revenue CAGR of 7.6% over 5 years warrants monitoring relative to industry benchmarks,61.0
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
AMBUJACEM,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.9
